split,order,image,output,gt_count,pred_count,extra_predictions,missing_predictions,abs_count_diff,max_conf,mean_conf
test,10,E:\mastercode\data\test\images\test\IMG20231120162026.jpg,E:\mastercode\9_archive\low_confidence\test\000010_extra+29_gt23_pred52_IMG20231120162026.jpg,23,52,29,0,29,0.9653446078300476,0.4071832078222472
val,17,E:\mastercode\data\test\images\val\IMG20231120161204.jpg,E:\mastercode\9_archive\low_confidence\val\000017_extra+29_gt28_pred57_IMG20231120161204.jpg,28,57,29,0,29,0.9596490263938904,0.41335662470705675
train,56,E:\mastercode\data\test\images\train\IMG20231120161337.jpg,E:\mastercode\9_archive\low_confidence\train\000056_extra+29_gt20_pred49_IMG20231120161337.jpg,20,49,29,0,29,0.9558119177818298,0.3832007985257981
train,37,E:\mastercode\data\test\images\train\IMG20231120161107_BURST005.jpg,E:\mastercode\9_archive\low_confidence\train\000037_extra+29_gt17_pred46_IMG20231120161107_BURST005.jpg,17,46,29,0,29,0.9437970519065857,0.29438006975080655
train,36,E:\mastercode\data\test\images\train\IMG20231120161107_BURST004.jpg,E:\mastercode\9_archive\low_confidence\train\000036_extra+29_gt18_pred47_IMG20231120161107_BURST004.jpg,18,47,29,0,29,0.940337598323822,0.2902935609776289
train,183,E:\mastercode\data\test\images\train\IMG_20260706_101901.jpg,E:\mastercode\9_archive\low_confidence\train\000183_extra+29_gt03_pred32_IMG_20260706_101901.jpg,3,32,29,0,29,0.9395595192909241,0.1192105341469869
train,416,E:\mastercode\data\test\images\train\IMG_20260706_105038.jpg,E:\mastercode\9_archive\low_confidence\train\000416_extra+29_gt06_pred35_IMG_20260706_105038.jpg,6,35,29,0,29,0.9369832873344421,0.11713359089834349
val,43,E:\mastercode\data\test\images\val\IMG_20260706_100500.jpg,E:\mastercode\9_archive\low_confidence\val\000043_extra+29_gt15_pred44_IMG_20260706_100500.jpg,15,44,29,0,29,0.9178778529167175,0.2543763932136988
test,65,E:\mastercode\data\test\images\test\IMG_20260706_105334.jpg,E:\mastercode\9_archive\low_confidence\test\000065_extra+29_gt05_pred34_IMG_20260706_105334.jpg,5,34,29,0,29,0.9051079154014587,0.1432600266793195
train,294,E:\mastercode\data\test\images\train\IMG_20260706_103420.jpg,E:\mastercode\9_archive\low_confidence\train\000294_extra+29_gt09_pred38_IMG_20260706_103420.jpg,9,38,29,0,29,0.8895285129547119,0.17073105594241306
train,374,E:\mastercode\data\test\images\train\IMG_20260706_104131.jpg,E:\mastercode\9_archive\low_confidence\train\000374_extra+29_gt02_pred31_IMG_20260706_104131.jpg,2,31,29,0,29,0.8780105710029602,0.06707553565502167
val,55,E:\mastercode\data\test\images\val\IMG_20260706_101750.jpg,E:\mastercode\9_archive\low_confidence\val\000055_extra+28_gt03_pred31_IMG_20260706_101750.jpg,3,31,28,0,28,0.9648548364639282,0.13147957040177238
val,170,E:\mastercode\data\test\images\val\IMG_20260706_111340.jpg,E:\mastercode\9_archive\low_confidence\val\000170_extra+28_gt10_pred38_IMG_20260706_111340.jpg,10,38,28,0,28,0.9555887579917908,0.27822232846856904
train,75,E:\mastercode\data\test\images\train\IMG20231120161845.jpg,E:\mastercode\9_archive\low_confidence\train\000075_extra+28_gt17_pred45_IMG20231120161845.jpg,17,45,28,0,28,0.9500646591186523,0.37287949708600837
val,94,E:\mastercode\data\test\images\val\IMG_20260706_103913.jpg,E:\mastercode\9_archive\low_confidence\val\000094_extra+28_gt14_pred42_IMG_20260706_103913.jpg,14,42,28,0,28,0.9498810768127441,0.3529597319041689
train,443,E:\mastercode\data\test\images\train\IMG_20260706_105313.jpg,E:\mastercode\9_archive\low_confidence\train\000443_extra+28_gt06_pred34_IMG_20260706_105313.jpg,6,34,28,0,28,0.9498766660690308,0.19411047293311534
train,555,E:\mastercode\data\test\images\train\IMG_20260706_110846.jpg,E:\mastercode\9_archive\low_confidence\train\000555_extra+28_gt10_pred38_IMG_20260706_110846.jpg,10,38,28,0,28,0.9431686401367188,0.12540589628349008
train,76,E:\mastercode\data\test\images\train\IMG20231120161919.jpg,E:\mastercode\9_archive\low_confidence\train\000076_extra+28_gt09_pred37_IMG20231120161919.jpg,9,37,28,0,28,0.9428457617759705,0.20979377896701162
train,518,E:\mastercode\data\test\images\train\IMG_20260706_110058.jpg,E:\mastercode\9_archive\low_confidence\train\000518_extra+28_gt16_pred44_IMG_20260706_110058.jpg,16,44,28,0,28,0.9354003071784973,0.29878562299365347
train,370,E:\mastercode\data\test\images\train\IMG_20260706_104102.jpg,E:\mastercode\9_archive\low_confidence\train\000370_extra+28_gt02_pred30_IMG_20260706_104102.jpg,2,30,28,0,28,0.9336605072021484,0.09985265467936794
train,234,E:\mastercode\data\test\images\train\IMG_20260706_102640.jpg,E:\mastercode\9_archive\low_confidence\train\000234_extra+28_gt14_pred42_IMG_20260706_102640.jpg,14,42,28,0,28,0.9334862232208252,0.2992131553723344
train,83,E:\mastercode\data\test\images\train\IMG20231120172615.jpg,E:\mastercode\9_archive\low_confidence\train\000083_extra+28_gt07_pred35_IMG20231120172615.jpg,7,35,28,0,28,0.9225403666496277,0.1977170219378812
train,432,E:\mastercode\data\test\images\train\IMG_20260706_105205.jpg,E:\mastercode\9_archive\low_confidence\train\000432_extra+27_gt05_pred32_IMG_20260706_105205.jpg,5,32,27,0,27,0.9620494246482849,0.18236609853920527
val,3,E:\mastercode\data\test\images\val\IMG20231120160501.jpg,E:\mastercode\9_archive\low_confidence\val\000003_extra+27_gt17_pred44_IMG20231120160501.jpg,17,44,27,0,27,0.956233024597168,0.3728196646340869
test,91,E:\mastercode\data\test\images\test\IMG_20260706_111508.jpg,E:\mastercode\9_archive\low_confidence\test\000091_extra+27_gt13_pred40_IMG_20260706_111508.jpg,13,40,27,0,27,0.951185941696167,0.332530249399133
val,118,E:\mastercode\data\test\images\val\IMG_20260706_105159.jpg,E:\mastercode\9_archive\low_confidence\val\000118_extra+27_gt14_pred41_IMG_20260706_105159.jpg,14,41,27,0,27,0.9460309743881226,0.291360699071935
train,147,E:\mastercode\data\test\images\train\IMG_20260706_100843.jpg,E:\mastercode\9_archive\low_confidence\train\000147_extra+27_gt08_pred35_IMG_20260706_100843.jpg,8,35,27,0,27,0.945052981376648,0.2049537567421794
val,14,E:\mastercode\data\test\images\val\IMG20231120161107_BURST006.jpg,E:\mastercode\9_archive\low_confidence\val\000014_extra+27_gt17_pred44_IMG20231120161107_BURST006.jpg,17,44,27,0,27,0.9335882663726807,0.3143559938974001
train,79,E:\mastercode\data\test\images\train\IMG20231120162036.jpg,E:\mastercode\9_archive\low_confidence\train\000079_extra+26_gt18_pred44_IMG20231120162036.jpg,18,44,26,0,26,0.9671517610549927,0.3835182331333106
test,51,E:\mastercode\data\test\images\test\IMG_20260706_103908.jpg,E:\mastercode\9_archive\low_confidence\test\000051_extra+26_gt06_pred32_IMG_20260706_103908.jpg,6,32,26,0,26,0.9590408205986023,0.2164457411854528
train,519,E:\mastercode\data\test\images\train\IMG_20260706_110059.jpg,E:\mastercode\9_archive\low_confidence\train\000519_extra+26_gt14_pred40_IMG_20260706_110059.jpg,14,40,26,0,26,0.9566401243209839,0.34279628209769725
train,235,E:\mastercode\data\test\images\train\IMG_20260706_102643.jpg,E:\mastercode\9_archive\low_confidence\train\000235_extra+26_gt12_pred38_IMG_20260706_102643.jpg,12,38,26,0,26,0.9483246803283691,0.28952043721648424
val,4,E:\mastercode\data\test\images\val\IMG20231120160510.jpg,E:\mastercode\9_archive\low_confidence\val\000004_extra+26_gt22_pred48_IMG20231120160510.jpg,22,48,26,0,26,0.9469709992408752,0.43885249093485373
train,438,E:\mastercode\data\test\images\train\IMG_20260706_105253.jpg,E:\mastercode\9_archive\low_confidence\train\000438_extra+26_gt04_pred30_IMG_20260706_105253.jpg,4,30,26,0,26,0.9423419237136841,0.13319160882383585
train,356,E:\mastercode\data\test\images\train\IMG_20260706_104002.jpg,E:\mastercode\9_archive\low_confidence\train\000356_extra+26_gt07_pred33_IMG_20260706_104002.jpg,7,33,26,0,26,0.9412421584129333,0.1021415139125152
test,58,E:\mastercode\data\test\images\test\IMG_20260706_104422.jpg,E:\mastercode\9_archive\low_confidence\test\000058_extra+26_gt03_pred29_IMG_20260706_104422.jpg,3,29,26,0,26,0.917875349521637,0.1844473984092474
val,152,E:\mastercode\data\test\images\val\IMG_20260706_110242.jpg,E:\mastercode\9_archive\low_confidence\val\000152_extra+26_gt05_pred31_IMG_20260706_110242.jpg,5,31,26,0,26,0.9070226550102234,0.16295428739319887
train,345,E:\mastercode\data\test\images\train\IMG_20260706_103915.jpg,E:\mastercode\9_archive\low_confidence\train\000345_extra+26_gt14_pred40_IMG_20260706_103915.jpg,14,40,26,0,26,0.9018071293830872,0.2841331499395892
test,39,E:\mastercode\data\test\images\test\IMG_20260706_103117.jpg,E:\mastercode\9_archive\low_confidence\test\000039_extra+26_gt04_pred30_IMG_20260706_103117.jpg,4,30,26,0,26,0.8833444118499756,0.09692737481867274
train,50,E:\mastercode\data\test\images\train\IMG20231120161257.jpg,E:\mastercode\9_archive\low_confidence\train\000050_extra+25_gt14_pred39_IMG20231120161257.jpg,14,39,25,0,25,0.9581269025802612,0.2752571786300112
train,61,E:\mastercode\data\test\images\train\IMG20231120161349.jpg,E:\mastercode\9_archive\low_confidence\train\000061_extra+25_gt12_pred37_IMG20231120161349.jpg,12,37,25,0,25,0.9563062787055969,0.30430106574518456
