image,min_side_640,max_side_640,min_side_native,size_bin,v_inst,v_bg,dv,a_contrast,blur_var
train/IMG_0000.jpg,8.33,9.17,26.7,<16px,155.0,86.3,68.6,3.61,17.9
train/IMG_0000.jpg,46.67,53.33,149.3,32-64px,88.7,126.6,-37.9,1.01,148.9
train/IMG_0000.jpg,21.25,30.42,68.0,16-32px,87.2,119.3,-32.1,2.91,382.7
train/IMG_0000.jpg,9.17,10.0,29.3,<16px,150.0,157.5,-7.5,0.84,22.6
train/IMG_0000.jpg,9.58,10.42,30.7,<16px,143.5,151.8,-8.3,0.78,33.1
train/IMG_0000.jpg,7.08,7.92,22.7,<16px,137.1,131.6,5.6,3.33,9.7
train/IMG_0000.jpg,7.92,21.25,25.3,<16px,31.0,78.6,-47.6,3.35,204.3
train/IMG_0000.jpg,9.17,21.25,29.3,<16px,34.3,42.0,-7.8,0.18,56.6
train/IMG_0000.jpg,10.83,14.17,34.7,<16px,33.8,106.5,-72.7,1.73,119.8
train/IMG_0000.jpg,14.58,51.25,46.7,<16px,69.3,97.4,-28.2,0.13,149.4
train/IMG_0000.jpg,9.58,10.83,30.7,<16px,222.4,131.5,90.9,0.61,23.4
train/IMG_0000.jpg,17.5,21.67,56.0,16-32px,63.5,139.2,-75.7,1.25,164.5
train/IMG_0000.jpg,19.58,29.58,62.7,16-32px,24.8,73.9,-49.1,0.82,713.2
train/IMG_0001.jpg,45.42,46.67,145.3,32-64px,113.4,136.7,-23.3,0.09,2622.9
train/IMG_0001.jpg,127.92,131.67,409.3,64-128px,137.0,123.0,13.9,2.66,3944.6
train/IMG_0001.jpg,40.0,40.42,128.0,32-64px,82.6,115.3,-32.8,6.31,1792.6
train/IMG_0001.jpg,39.17,42.08,125.3,32-64px,56.8,106.7,-49.9,1.51,655.9
train/IMG_0001.jpg,32.92,33.75,105.3,32-64px,51.8,121.9,-70.0,7.58,414.7
train/IMG_0001.jpg,27.5,39.17,88.0,16-32px,88.0,108.8,-20.8,1.53,1014.3
train/IMG_0001.jpg,12.5,22.08,40.0,<16px,195.7,140.7,55.0,1.24,220.7
train/IMG_0001.jpg,16.67,24.58,53.3,16-32px,169.6,125.1,44.5,1.65,226.4
train/IMG_0001.jpg,22.5,30.42,72.0,16-32px,171.8,141.9,29.9,1.65,455.6
train/IMG_0001.jpg,9.17,13.75,29.3,<16px,135.1,162.5,-27.4,1.45,41.7
train/IMG_0001.jpg,6.25,12.92,20.0,<16px,63.8,134.6,-70.9,3.1,13.1
train/IMG_0001.jpg,20.42,24.17,65.3,16-32px,59.2,124.8,-65.6,1.0,108.2
train/IMG_0001.jpg,20.83,23.33,66.7,16-32px,212.3,133.0,79.3,2.45,421.2
train/IMG_0001.jpg,22.92,27.5,73.3,16-32px,153.8,165.4,-11.6,0.15,1148.2
train/IMG_0001.jpg,24.17,24.58,77.3,16-32px,151.9,146.4,5.5,1.43,473.0
train/IMG_0001.jpg,17.92,39.58,57.3,16-32px,180.6,168.2,12.4,5.5,2374.3
train/IMG_0001.jpg,15.42,17.08,49.3,<16px,139.3,140.9,-1.7,4.36,72.6
train/IMG_0001.jpg,8.75,12.92,28.0,<16px,201.0,118.4,82.5,2.45,21.2
train/IMG_0001.jpg,12.5,15.0,40.0,<16px,117.3,139.2,-22.0,2.82,137.4
train/IMG_0001.jpg,11.67,13.75,37.3,<16px,77.5,170.7,-93.2,1.57,65.9
train/IMG_0001.jpg,9.58,10.42,30.7,<16px,160.0,167.3,-7.3,0.42,13.9
train/IMG_0001.jpg,12.08,12.08,38.7,<16px,120.0,140.5,-20.5,0.52,35.9
train/IMG_0001.jpg,10.0,11.25,32.0,<16px,98.2,120.4,-22.2,0.91,14.3
train/IMG_0001.jpg,7.5,15.42,24.0,<16px,124.7,196.0,-71.3,1.99,42.2
train/IMG_0001.jpg,29.58,50.42,94.7,16-32px,85.3,95.9,-10.5,7.45,1104.1
train/IMG_0001.jpg,7.5,12.08,24.0,<16px,39.6,64.3,-24.6,1.11,25.1
train/IMG_0001.jpg,10.42,22.08,33.3,<16px,44.5,68.9,-24.4,0.25,86.7
train/IMG_0001.jpg,58.33,92.5,186.7,32-64px,64.5,117.7,-53.3,5.34,2028.0
train/IMG_0001.jpg,11.67,14.17,37.3,<16px,169.4,116.7,52.7,1.69,33.3
train/IMG_0002.jpg,52.5,57.5,168.0,32-64px,85.4,127.0,-41.6,3.8,1823.5
train/IMG_0002.jpg,62.5,63.33,200.0,32-64px,77.1,93.6,-16.5,1.2,2318.0
train/IMG_0002.jpg,35.42,36.67,113.3,32-64px,75.9,95.6,-19.7,2.46,131.3
train/IMG_0002.jpg,42.92,45.0,137.3,32-64px,107.5,108.8,-1.2,4.81,238.3
train/IMG_0002.jpg,81.67,85.0,261.3,64-128px,102.6,107.8,-5.3,0.12,4383.6
train/IMG_0002.jpg,35.0,38.33,112.0,32-64px,144.5,119.6,24.9,2.85,213.1
train/IMG_0002.jpg,30.42,32.5,97.3,16-32px,54.8,98.5,-43.7,1.1,111.4
train/IMG_0002.jpg,64.17,72.92,205.3,64-128px,62.1,88.8,-26.7,1.42,2687.3
train/IMG_0002.jpg,54.58,55.83,174.7,32-64px,80.0,107.7,-27.7,4.92,890.1
train/IMG_0002.jpg,34.58,36.67,110.7,32-64px,64.5,53.3,11.2,2.67,49.7
train/IMG_0002.jpg,23.33,27.92,74.7,16-32px,53.7,90.0,-36.3,0.92,28.8
train/IMG_0002.jpg,27.08,28.33,86.7,16-32px,32.3,88.6,-56.3,3.34,273.9
train/IMG_0002.jpg,36.25,36.67,116.0,32-64px,62.9,93.4,-30.5,2.4,127.8
train/IMG_0002.jpg,22.5,26.67,72.0,16-32px,90.3,100.0,-9.8,2.68,125.5
train/IMG_0003.jpg,4.17,5.83,20.0,<16px,114.4,113.4,1.0,0.65,9.2
train/IMG_0003.jpg,7.08,7.08,34.0,<16px,93.0,91.8,1.2,1.12,22.6
train/IMG_0003.jpg,7.08,7.5,34.0,<16px,72.5,108.2,-35.7,2.62,35.7
train/IMG_0003.jpg,5.83,7.5,28.0,<16px,64.1,116.1,-52.1,1.67,19.0
train/IMG_0003.jpg,5.0,5.0,24.0,<16px,54.3,68.6,-14.3,2.96,6.2
train/IMG_0003.jpg,3.75,5.0,18.0,<16px,55.4,51.9,3.5,0.04,2.4
train/IMG_0003.jpg,3.33,3.75,16.0,<16px,44.8,45.5,-0.7,0.01,2.1
train/IMG_0005.jpg,51.67,52.5,248.0,32-64px,111.1,126.1,-14.9,2.39,6418.9
train/IMG_0006.jpg,52.08,52.08,250.0,32-64px,110.2,125.4,-15.2,2.42,5756.7
train/IMG_0007.jpg,77.08,77.08,370.0,64-128px,134.5,128.4,6.2,0.8,5764.7
train/IMG_0007.jpg,56.25,58.75,270.0,32-64px,94.6,107.6,-12.9,1.69,4810.8
train/IMG_0007.jpg,42.92,48.75,206.0,32-64px,112.0,129.0,-17.0,9.98,624.8
train/IMG_0007.jpg,33.33,35.83,160.0,32-64px,70.1,124.0,-53.9,0.27,73.7
train/IMG_0007.jpg,30.83,66.25,148.0,16-32px,105.2,92.8,12.4,5.4,1208.8
train/IMG_0007.jpg,23.75,45.42,114.0,16-32px,39.9,104.9,-65.0,5.74,667.2
train/IMG_0008.jpg,70.0,74.17,336.0,64-128px,113.3,141.2,-28.0,3.09,4305.0
train/IMG_0009.jpg,50.42,62.92,242.0,32-64px,82.6,134.6,-52.0,0.61,4818.7
train/IMG_0009.jpg,63.33,73.33,304.0,32-64px,108.8,167.4,-58.5,5.79,9231.8
train/IMG_0010.jpg,58.75,64.17,282.0,32-64px,91.2,112.3,-21.1,1.22,6262.7
train/IMG_0011.jpg,58.33,58.75,280.0,32-64px,78.5,85.3,-6.8,3.73,847.7
train/IMG_0017.jpg,62.08,63.75,298.0,32-64px,90.3,153.8,-63.5,0.68,7434.5
train/IMG_0020.jpg,151.67,152.5,728.0,>=128px,129.9,168.2,-38.2,2.99,11436.9
train/IMG_0026.jpg,80.83,86.25,388.0,64-128px,160.1,137.8,22.3,2.26,5802.2
train/IMG_0026.jpg,16.25,25.83,78.0,16-32px,57.7,128.3,-70.6,2.97,14.2
train/IMG_0026.jpg,71.67,78.75,344.0,64-128px,98.3,124.6,-26.3,0.99,3872.4
train/IMG_0027.jpg,100.42,103.33,482.0,64-128px,170.6,138.6,32.0,4.14,3426.3
train/IMG_0027.jpg,44.58,55.0,214.0,32-64px,167.7,127.3,40.4,6.84,8040.7
train/IMG_0027.jpg,45.42,45.83,218.0,32-64px,65.5,77.8,-12.3,0.07,296.7
train/IMG_0027.jpg,28.33,49.58,136.0,16-32px,94.7,120.0,-25.2,2.16,5340.7
train/IMG_0027.jpg,21.67,32.5,104.0,16-32px,36.8,110.2,-73.4,5.1,1742.7
train/IMG_0027.jpg,30.83,40.42,148.0,16-32px,157.5,114.0,43.5,6.07,1499.0
train/IMG_0029.jpg,66.25,72.92,318.0,64-128px,122.5,142.8,-20.3,2.84,5910.2
train/IMG_0031.jpg,37.08,37.5,178.0,32-64px,88.2,57.9,30.4,3.17,2371.0
train/IMG_0031.jpg,31.25,37.08,150.0,16-32px,103.3,149.5,-46.2,3.15,3507.3
train/IMG_0031.jpg,35.83,36.67,172.0,32-64px,54.1,115.6,-61.5,2.37,2805.5
train/IMG_0031.jpg,20.83,22.92,100.0,16-32px,98.2,148.3,-50.1,6.53,776.7
train/IMG_0031.jpg,25.83,26.67,124.0,16-32px,99.7,144.9,-45.2,4.69,1048.2
train/IMG_0031.jpg,8.75,10.0,42.0,<16px,89.0,100.8,-11.8,2.1,27.3
train/IMG_0035.jpg,34.58,46.25,166.0,32-64px,100.5,106.6,-6.1,0.71,2240.1
train/IMG_0035.jpg,44.58,44.58,214.0,32-64px,96.4,79.8,16.6,5.45,5520.1
train/IMG_0035.jpg,47.92,49.17,230.0,32-64px,137.6,164.3,-26.7,6.61,9638.6
train/IMG_0035.jpg,33.33,36.67,160.0,32-64px,69.2,122.7,-53.5,2.31,2950.1
train/IMG_0035.jpg,36.67,37.5,176.0,32-64px,64.1,122.6,-58.5,2.33,2594.7
train/IMG_0035.jpg,45.0,45.42,216.0,32-64px,135.3,152.9,-17.6,6.03,8314.0
train/IMG_0035.jpg,42.5,52.92,204.0,32-64px,82.4,101.2,-18.8,0.39,1277.2
train/IMG_0035.jpg,18.33,34.17,88.0,16-32px,51.3,145.8,-94.5,7.18,823.5
train/IMG_0035.jpg,30.42,32.5,146.0,16-32px,83.1,187.8,-104.6,14.2,1236.4
train/IMG_0036.jpg,72.5,76.25,348.0,64-128px,150.3,121.7,28.6,1.69,8423.2
train/IMG_0036.jpg,74.58,81.67,358.0,64-128px,122.7,128.9,-6.3,4.9,10219.8
train/IMG_0036.jpg,45.42,48.33,218.0,32-64px,68.6,124.4,-55.8,1.55,3105.6
train/IMG_0036.jpg,50.83,52.5,244.0,32-64px,98.5,107.8,-9.3,0.97,5017.1
train/IMG_0036.jpg,47.5,52.5,228.0,32-64px,128.4,122.0,6.4,0.96,4179.7
train/IMG_0036.jpg,54.17,59.58,260.0,32-64px,124.0,127.1,-3.1,1.35,5878.5
train/IMG_0036.jpg,39.58,46.25,190.0,32-64px,102.3,97.2,5.1,0.98,4022.7
train/IMG_0036.jpg,30.42,52.92,146.0,16-32px,112.2,120.8,-8.6,3.52,2368.0
train/IMG_0037.jpg,98.75,105.42,474.0,64-128px,143.5,112.2,31.3,5.85,11430.2
train/IMG_0037.jpg,118.33,129.17,568.0,64-128px,162.3,145.3,17.0,10.72,15376.4
train/IMG_0037.jpg,63.75,90.42,306.0,32-64px,104.7,159.3,-54.6,1.17,12951.9
train/IMG_0039.jpg,52.08,53.33,250.0,32-64px,141.7,129.3,12.4,9.19,5349.3
train/IMG_0039.jpg,47.08,49.58,226.0,32-64px,96.7,53.7,43.0,4.95,2519.9
train/IMG_0039.jpg,35.42,44.17,170.0,32-64px,54.4,59.2,-4.8,0.04,924.2
train/IMG_0042.jpg,19.17,32.92,92.0,16-32px,95.2,151.3,-56.1,0.37,445.5
train/IMG_0042.jpg,36.25,45.83,174.0,32-64px,140.4,154.4,-14.0,1.85,4405.5
train/IMG_0042.jpg,35.0,35.83,168.0,32-64px,114.6,136.8,-22.2,2.23,3701.7
train/IMG_0042.jpg,59.17,62.5,284.0,32-64px,88.4,102.0,-13.6,1.13,3860.4
train/IMG_0042.jpg,45.0,48.75,216.0,32-64px,77.0,144.3,-67.4,2.89,3577.2
train/IMG_0044.jpg,58.33,62.08,280.0,32-64px,103.4,127.4,-24.0,1.85,5823.7
train/IMG_0044.jpg,53.33,64.17,256.0,32-64px,61.4,128.4,-67.1,4.78,4263.4
train/IMG_0044.jpg,65.0,68.33,312.0,64-128px,132.2,147.6,-15.3,7.37,8009.3
train/IMG_0044.jpg,21.25,22.92,102.0,16-32px,117.1,137.1,-20.0,2.2,1080.3
train/IMG_0044.jpg,6.25,6.25,30.0,<16px,96.7,133.5,-36.8,2.83,3.0
train/IMG_0045.jpg,66.67,68.75,320.0,64-128px,74.3,97.9,-23.5,1.44,3413.5
train/IMG_0046.jpg,127.92,129.17,614.0,64-128px,134.4,129.3,5.1,2.86,12064.4
train/IMG_0046.jpg,122.08,125.0,586.0,64-128px,131.6,109.6,22.0,4.4,14724.8
train/IMG_0047.jpg,40.42,40.83,194.0,32-64px,109.3,114.0,-4.8,0.43,5164.2
train/IMG_0047.jpg,11.25,11.25,54.0,<16px,75.5,179.5,-103.9,5.21,59.4
train/IMG_0047.jpg,10.0,10.0,48.0,<16px,82.7,132.2,-49.6,4.52,40.9
train/IMG_0047.jpg,12.5,13.33,60.0,<16px,132.4,127.7,4.7,2.15,100.2
train/IMG_0047.jpg,5.42,8.33,26.0,<16px,99.6,143.1,-43.5,5.2,11.9
train/IMG_0047.jpg,9.17,13.33,44.0,<16px,111.9,175.2,-63.4,3.43,163.4
train/IMG_0047.jpg,10.0,10.83,48.0,<16px,88.9,80.0,8.9,3.09,14.2
train/IMG_0047.jpg,10.0,11.25,48.0,<16px,115.1,115.0,0.1,0.33,32.0
train/IMG_0047.jpg,7.5,7.92,36.0,<16px,59.6,97.8,-38.1,2.1,13.7
train/IMG_0047.jpg,4.17,4.58,20.0,<16px,93.7,156.0,-62.3,1.39,4.5
train/IMG_0047.jpg,7.08,7.5,34.0,<16px,117.4,110.9,6.6,0.36,7.9
train/IMG_0048.jpg,26.67,38.33,128.0,16-32px,95.3,150.5,-55.2,4.91,1630.4
train/IMG_0048.jpg,56.25,57.08,270.0,32-64px,87.4,105.6,-18.2,0.41,2535.2
train/IMG_0048.jpg,33.33,38.33,160.0,32-64px,144.1,141.1,3.1,1.41,877.8
train/IMG_0048.jpg,13.75,57.08,66.0,<16px,93.4,101.2,-7.8,0.72,935.4
train/IMG_0048.jpg,71.67,72.08,344.0,64-128px,135.4,101.1,34.3,1.56,8034.4
train/IMG_0048.jpg,43.75,46.25,210.0,32-64px,102.4,132.1,-29.6,2.19,1367.9
train/IMG_0048.jpg,55.83,64.17,268.0,32-64px,147.1,106.3,40.8,1.91,7316.2
train/IMG_0049.jpg,102.92,108.33,494.0,64-128px,138.6,95.4,43.2,3.3,8691.0
train/IMG_0049.jpg,85.42,89.17,410.0,64-128px,136.2,114.4,21.9,0.42,13024.8
train/IMG_0049.jpg,57.08,60.0,274.0,32-64px,105.1,129.7,-24.6,2.47,3265.9
train/IMG_0050.jpg,80.42,80.83,386.0,64-128px,131.7,123.4,8.3,0.23,11815.4
train/IMG_0050.jpg,68.33,69.58,328.0,64-128px,128.8,103.7,25.1,3.03,7252.0
train/IMG_0050.jpg,45.42,47.08,218.0,32-64px,79.7,100.8,-21.1,2.09,550.4
train/IMG_0050.jpg,40.83,44.17,196.0,32-64px,125.7,165.7,-40.0,3.27,803.2
train/IMG_0050.jpg,31.25,31.25,150.0,16-32px,52.4,91.6,-39.2,2.84,59.6
train/IMG_0050.jpg,33.75,33.75,162.0,32-64px,69.2,132.7,-63.5,4.98,368.1
train/IMG_0050.jpg,25.83,27.08,124.0,16-32px,68.8,146.3,-77.5,0.78,143.2
train/IMG_0051.jpg,71.67,74.58,344.0,64-128px,109.2,98.6,10.6,0.95,8006.7
train/IMG_0051.jpg,46.67,47.08,224.0,32-64px,64.4,129.0,-64.6,1.04,1551.6
train/IMG_0051.jpg,27.92,38.75,134.0,16-32px,77.1,116.0,-38.9,1.16,1588.9
train/IMG_0051.jpg,97.5,98.33,468.0,64-128px,124.5,95.0,29.5,2.19,9479.8
train/IMG_0053.jpg,77.5,81.25,372.0,64-128px,119.8,103.7,16.1,5.93,13141.2
train/IMG_0054.jpg,58.75,87.5,282.0,32-64px,134.4,136.8,-2.5,0.98,12170.2
train/IMG_0054.jpg,55.42,104.58,266.0,32-64px,84.5,97.0,-12.5,0.23,4611.0
train/IMG_0054.jpg,18.75,64.58,90.0,16-32px,123.6,129.4,-5.7,1.45,1360.1
train/IMG_0054.jpg,52.08,56.67,250.0,32-64px,53.6,131.2,-77.5,4.27,2176.4
train/IMG_0056.jpg,37.92,42.08,182.0,32-64px,71.5,128.1,-56.5,3.67,2628.6
train/IMG_0056.jpg,27.5,27.92,132.0,16-32px,107.3,134.2,-27.0,1.13,1433.1
train/IMG_0057.jpg,41.25,50.83,198.0,32-64px,162.4,148.9,13.5,5.26,4984.5
train/IMG_0057.jpg,31.67,40.42,152.0,16-32px,151.0,139.8,11.1,4.06,4816.2
train/IMG_0057.jpg,51.25,54.58,246.0,32-64px,93.3,133.8,-40.5,3.78,4303.6
train/IMG_0057.jpg,52.08,52.92,250.0,32-64px,121.7,78.4,43.3,3.02,3646.1
train/IMG_0057.jpg,47.92,51.25,230.0,32-64px,132.1,113.5,18.5,8.81,4530.9
train/IMG_0057.jpg,60.42,63.33,290.0,32-64px,157.8,137.2,20.5,4.27,2793.8
train/IMG_0057.jpg,27.92,28.75,134.0,16-32px,88.6,170.9,-82.2,3.71,796.5
train/IMG_0058.jpg,40.83,41.25,196.0,32-64px,137.8,153.6,-15.8,4.18,7212.4
train/IMG_0058.jpg,57.5,58.75,276.0,32-64px,128.3,106.5,21.8,2.73,6413.6
train/IMG_0058.jpg,40.83,44.58,196.0,32-64px,91.9,133.0,-41.1,3.62,2050.4
train/IMG_0058.jpg,9.58,9.58,46.0,<16px,99.7,150.5,-50.8,1.01,16.9
train/IMG_0059.jpg,52.5,59.17,252.0,32-64px,102.5,123.9,-21.4,2.48,6704.7
train/IMG_0059.jpg,51.25,55.0,246.0,32-64px,142.1,172.8,-30.7,3.14,7781.6
train/IMG_0059.jpg,41.25,61.25,198.0,32-64px,55.7,108.7,-53.0,2.73,3922.5
train/IMG_0059.jpg,20.42,31.25,98.0,16-32px,54.6,115.9,-61.3,5.42,1255.9
train/IMG_0059.jpg,3.33,5.83,16.0,<16px,122.6,122.5,0.2,1.44,11.8
train/IMG_0059.jpg,2.92,5.0,14.0,<16px,139.4,94.2,45.2,1.13,5.4
train/IMG_0059.jpg,10.0,15.0,48.0,<16px,151.8,107.3,44.4,2.15,285.6
train/IMG_0060.jpg,44.58,52.92,214.0,32-64px,110.3,77.7,32.6,3.88,2420.4
train/IMG_0060.jpg,58.75,60.83,282.0,32-64px,122.2,109.5,12.7,0.63,4624.4
train/IMG_0060.jpg,50.83,51.67,244.0,32-64px,133.4,127.2,6.3,2.16,8407.4
train/IMG_0060.jpg,46.25,48.33,222.0,32-64px,107.4,110.9,-3.5,0.27,4379.5
train/IMG_0060.jpg,28.75,29.58,138.0,16-32px,100.9,111.9,-11.1,4.23,515.3
train/IMG_0060.jpg,15.83,30.0,76.0,<16px,88.8,146.4,-57.6,3.11,574.5
train/IMG_0061.jpg,42.08,58.33,202.0,32-64px,87.5,111.1,-23.6,2.17,3854.4
train/IMG_0061.jpg,25.42,30.0,122.0,16-32px,85.4,96.3,-10.9,1.45,1444.3
train/IMG_0061.jpg,42.5,59.58,204.0,32-64px,114.3,90.2,24.1,3.84,3995.2
train/IMG_0061.jpg,69.58,71.25,334.0,64-128px,132.2,109.6,22.6,3.04,5974.9
train/IMG_0061.jpg,43.33,49.17,208.0,32-64px,159.4,139.2,20.2,0.33,5635.3
train/IMG_0061.jpg,64.17,71.67,308.0,64-128px,96.2,105.1,-8.9,0.1,4716.5
train/IMG_0061.jpg,49.58,51.25,238.0,32-64px,71.6,79.0,-7.4,4.56,517.2
train/IMG_0061.jpg,50.0,60.42,240.0,32-64px,97.2,138.9,-41.7,3.5,4540.6
train/IMG_0061.jpg,71.25,72.92,342.0,64-128px,106.0,161.0,-55.0,2.69,9002.8
train/IMG_0062.jpg,77.92,78.33,374.0,64-128px,123.9,148.2,-24.2,0.23,3319.9
train/IMG_0062.jpg,51.25,64.58,246.0,32-64px,61.2,120.8,-59.6,3.93,2503.7
train/IMG_0062.jpg,70.83,78.33,340.0,64-128px,100.1,109.7,-9.6,1.01,3574.6
train/IMG_0062.jpg,71.67,71.67,344.0,64-128px,67.0,96.3,-29.3,1.32,2101.9
train/IMG_0062.jpg,53.75,58.75,258.0,32-64px,98.2,99.2,-1.0,0.96,5519.1
train/IMG_0062.jpg,61.25,62.5,294.0,32-64px,71.5,104.9,-33.4,1.15,2938.4
train/IMG_0062.jpg,63.75,63.75,306.0,32-64px,60.2,74.7,-14.5,0.06,1533.9
train/IMG_0062.jpg,26.67,34.17,128.0,16-32px,47.7,58.6,-10.9,1.61,29.9
train/IMG_0062.jpg,18.75,25.83,90.0,16-32px,35.3,46.8,-11.5,0.09,10.4
train/IMG_0062.jpg,30.83,37.92,148.0,16-32px,59.5,118.3,-58.8,2.99,1199.5
train/IMG_0062.jpg,10.42,10.83,50.0,<16px,119.8,110.4,9.4,0.62,14.4
train/IMG_0062.jpg,8.75,9.17,42.0,<16px,91.8,118.8,-27.0,1.01,5.5
train/IMG_0062.jpg,5.83,7.08,28.0,<16px,72.0,73.4,-1.4,1.15,1.8
train/IMG_0062.jpg,8.33,10.0,40.0,<16px,84.8,89.8,-5.0,0.82,2.4
train/IMG_0062.jpg,8.75,10.42,42.0,<16px,77.1,86.0,-8.8,0.72,4.3
train/IMG_0062.jpg,6.25,6.67,30.0,<16px,88.9,111.7,-22.8,1.19,3.9
train/IMG_0062.jpg,7.92,10.0,38.0,<16px,89.7,69.3,20.4,1.73,2.8
train/IMG_0062.jpg,10.0,10.83,48.0,<16px,87.8,86.7,1.0,0.64,2.7
train/IMG_0062.jpg,7.92,12.08,38.0,<16px,92.2,99.0,-6.8,1.06,4.7
train/IMG_0062.jpg,8.33,9.58,40.0,<16px,97.9,102.1,-4.2,0.92,3.1
train/IMG_0062.jpg,5.42,7.92,26.0,<16px,76.8,94.1,-17.3,1.01,2.3
train/IMG_0062.jpg,5.42,7.5,26.0,<16px,67.2,100.1,-32.9,0.72,2.5
train/IMG_0063.jpg,54.17,55.42,260.0,32-64px,165.8,174.8,-9.0,0.64,7701.3
train/IMG_0065.jpg,62.08,64.17,298.0,32-64px,149.8,181.8,-32.0,0.86,4436.5
train/IMG_0065.jpg,35.0,36.67,168.0,32-64px,161.9,135.9,26.0,10.79,314.0
train/IMG_0065.jpg,16.67,23.75,80.0,16-32px,161.7,170.5,-8.8,1.4,75.5
train/IMG_0065.jpg,36.25,37.5,174.0,32-64px,138.4,123.7,14.7,1.57,265.2
train/IMG_0065.jpg,26.67,28.75,128.0,16-32px,167.0,168.6,-1.5,0.14,300.2
train/IMG_0066.jpg,64.58,65.42,310.0,64-128px,150.3,173.7,-23.4,3.42,4536.4
train/IMG_0068.jpg,65.42,68.33,314.0,64-128px,162.2,172.8,-10.6,1.6,3043.4
train/IMG_0068.jpg,32.92,32.92,158.0,32-64px,128.0,154.1,-26.1,1.24,2862.2
train/IMG_0068.jpg,33.33,33.75,160.0,32-64px,112.0,128.6,-16.5,0.92,1614.8
train/IMG_0068.jpg,35.0,37.5,168.0,32-64px,131.2,132.1,-0.9,2.01,3012.1
train/IMG_0068.jpg,28.33,34.58,136.0,16-32px,174.0,150.6,23.4,5.35,2585.9
train/IMG_0068.jpg,58.75,63.33,282.0,32-64px,130.3,145.7,-15.4,0.75,6365.6
train/IMG_0068.jpg,35.0,38.33,168.0,32-64px,168.3,194.5,-26.2,4.69,2647.8
train/IMG_0069.jpg,65.83,66.67,316.0,64-128px,132.7,150.2,-17.5,1.7,8338.0
train/IMG_0069.jpg,42.92,55.0,206.0,32-64px,94.9,129.1,-34.3,1.51,5260.7
train/IMG_0069.jpg,70.83,71.25,340.0,64-128px,137.8,105.1,32.8,3.45,11687.5
